abolicionistka		abolitionistin	abolitioniste;vrouwenrechtenactivist;burgerrechtenactiviste;abolitionist;suffragette	суфражистка;анархистка	sufragista	abolitioniste;abolitionniste;suffragette		abolicionistka;sufražetka	abolicionistka;kvakerka;abolicionista;abolicionista;abolicionistka;abolicionistka;feminista;abolicionistka;sufražetka;aktivistka;anarchistka;sufražetka;abolicionistka	sufražetka;abolicionistka;feministka;anarchistka;abolicionistka;pacifistka;extremistka;feministka	sufražetka;sufražetky;abolicionistka;sufražetek	abolicionistka;abolicionista;abolicionistického;sufražetka;abolicionista;anarchistka;abolicionistka;sufražetky;abolicionistka;republikánka
absolventka		absolventin;dozentin;wirtschaftspädagogin;kunstprofessorin	docente	выпускница;студентка;аспирантка;третьекурсница;магистрантка	egresada;ex-alumna;exalumna	diplômée;diplomée;ex-étudiante;doctorante		absolventkou;absolventka;absolventku;lektorka;absolventky;lektorkou;lektorku;praktikantka;absolventka;profesorka;absolventka;diplomantka;absolventka;absolventkou	učitelka;lektorka;profesorka;studentka;učitelkou;absolventka;angličtinářka;profesorku	absolventka;studentka;studentka;absolventkou;doktorandka;absolventka;profesorka;docentka;vysokoškolačka;absolventka;bioložka;stipendistka;řešitelka;doktorandka;rektorka;prorektorka;absolventka;absolventka	absolventka;absolventkou;vystudovaná;absolventku;spolužačka;studentka;studentka;absolventka;studentka;vystudovanou;angličtinářka;absolventkou;absolventka	absolventkou;vystudovala;vystudovaná;absolventka;absolventku;vystudovaná;absolventka;vystudované;absolventkou;absolventku;studentka;vystudované;studentka;vystudovala;absolventku;absolventka;absolventky;absolventkou;absolventky;studentka;studentkou;doktorandkou;studentkou;doktorandka;absolventka
abstinentka					abstemia;ex-fumadora						abstinenta;nepití;abstinent;abstinentka;abstinenta;abstinentem;vegetariánkou;kuřačka;abstinujícího;vegetariánka;kuřáka;nekuřáka;nekouřím;abstinentka	
adeptka		anwärterin;anwärter	kandidate	претендентка;кандидатка	candidata;aspirante	prétendante		adeptka;adeptku;adeptkou;adeptky;adepti;adept;adepty;čekatele;adeptku;čekatelé;adepta;adeptka;aspiranti;aspirantky;adeptem	adeptku;adeptka;kandidátkou;adeptkou;uchazečka;adeptky	adeptka;konkurentka;uchazečka;uchazečka;kandidátka;favoritka;adeptka	adept;kandidátkou;kandidátka;kandidát;uchazeč;adepta;kandidatura;prezidentku;protikandidátka;adeptka;adeptka;adeptku;adeptkou;adeptem	adeptky;adeptka
administrátorka		administratorin;webmasterin;einsatzleiterin;community-managerin	projectmedewerkster;projectleidster;communicatiemedewerkster	сотрудница	delegada	administratrice		administrátorka;správkyně;administrátorky;administrátorky;webmastera;správkyni;administrátorka;administrátorky;administrátorka;dispečerka;administrátorkou;přispěvatelka;záchranářka;velitelka;administrátorka;přispěvatelka	administrátorka;zřizovatelka;řešitelka;editelka;administrátorkou;supervizorka;realizátorka;realizátorka;manažérka;hodnotitelka;řešitelka;dokumentátorka;koordinátorkou;konzultantka;garantka;koordinátorka;metodička;administrátorka;stážistka;zřizovatelka;řešitelkou;manažérka;administrátorka;dokumentátorka;fundraiserka	zaměstnankyně;ředitelka;šéfová;šéfka;zaměstnavatelka;pracovnice;stážistka;praktikantka;personalistka;administrátorka	zástupkyně;ředitelka;administrátorka;ředitele;gestora	správkyně;administrátorka;správkyní;administrátorky
admirálka	fitawrari	admiralin;marinekommandanten;marineadmiral	vloot-admiraal;zeeadmiraal	адмиральша;нимица;адмиральское	almiranta	marijoa;amirale	admirálka	kapitánporučíka;keldon;admirálka;leytona;kapitán-poručíka;chaola;loďmistra;admirálové;admirály;kapitánův;admirála;admirálka;komodor;rimmery;kontraadmirála;admirálka	komodora;admirálka;velkoadmirálem;admirálka;admirále	admirálka;kkomtesa;kapitánovo;carovo;admirálské;admirálka;admirálka	admirálka;kontraadmirála;kapitána;admirála;kapitánporučíka;admirálská	admirálka;lordy;admirálské;admirálka
adresátka	heliograph;truckie;wreckage		doelpersoon;brievenschrijfster;brievenschrijver;poëzielezer			narrataire	adresátka;spolupracovníků;adresátka;příznivců;adresátka;odborníků		dopisovateli;adresátka;adresátka;filoložky;adresátky;adresátky;adresátka;romanopiskyně;shluknutí;dopisovatele;adresátka			adresátka
advokátka	neeson	rechtsanwältin;anwältin;juristin;strafverteidigerin	advocate;juriste	юристка;адвокатесса	abogada;-abogada	avocate;ex-avocate;avocates	advokátka;advokát;mluvčí.;mluvčí.muž	advokátka;advokátky;právničky;právnička;právnička;právničku;právničkou;advokátka;advokátka;advokátku;advokátka;právničce;advokátky;advokátce;advokátku;advokátkou;advokátkou;právnička	advokátka;právnička;právnička;právničkou;právničkou;právničku;právničky;advokátka;právničky;advokátky;právničku;vyšetřovatelka;právník	právnička;advokátka;prokurátorka;soudkyně;vyšetřovatelka;prokurátorka;odborářka;advokátka;vyšetřovatelka;exekutorka;stavařka	advokátka;právnička;advokátky;právníka;právničky;advokátkou;právničku;právničkou;advokátku;vyšetřovatelka;štěpánkovápodnikatelka;nepalovápodnikatelka;advokátka	právnička;advokátka;právničky;advokátky;právničce;advokátce;soudkyně;vyšetřovatelka;kriminalistka;advokátku;advokátka;advokátky;advokátkou;advokátku;advokátce;advokátky;advokátka;právničky;právničce
afrikanistka	dumbobruni;mininster		afrikanist				afrikanistka;afrikanistka		afrikanista;etnograf-amerikanista;afrikanistka			
agentka	rakhat	agentin;spezialagentin;geheimagentin;undercover-agentin;top-agentin;informantin;cia-agentin	cia-agente;agente	разведчица	reclutadora	agente;négociatrice;investigatrice	agentka	agentka;agentky;agentkou;agentku;agentce;agentkou;agentka;agentky;agentky;agentka;agentka;špiónkou;agentka;špionkou;špiónkou;agentka;špionka;agentkou;agentkou;agentkou;seržantka;špionkou;agentka	agentky;agentka;policistku;policistka;agentka;agentku;vyšetřovatelka;agentku	špionka;špiónka;radistka;odbojářka;agentka	agentka;personalistka;headhuntera;personalistkou;personalistku;nákupčího	agentka;agentkou;vyjednavačka;agentka;pozorovatelka;referentka;agentky;spolupracovnice;agentka
