matige cijfers zo kon doorstromen	Phrase
advocaat	Unmotivated
agent	Derivative
ouderwetse aristocrate	Phrase
assistente	Derivative
auteur	Derivative
barmeid	Compound
handelscommissaris barones	Phrase
barones	Unmotivated
blondine	Unmotivated
strijders	Derivative
wapen	Unmotivated
brunette	Derivative
dichteres	Derivative
pleegdochter	Compound
de kinderjuffrouw	Phrase
hoedster	Derivative
in een diepe slaap verzonken een vreemdeling	Phrase
de grenspost	Phrase
keizerin	Derivative
moederdier afkomstig zijn	Phrase
diagnose	Derivative
de vrouwelijke arts	Phrase
kameraad	Unmotivated
meesteres	Derivative
de verkoopster	Phrase
onbenullige aanbidster	Phrase
erfgename	Compound
arbeidsters	Compound
de huisbewaarster	Phrase
ook een existentiefilosoof	Phrase
de expert	Phrase
landbouwer stelde geloof	Phrase
feministe	Derivative
vlot ding	Phrase
een filosoof	Phrase
de fotografe	Phrase
jacht	Unmotivated
koppelaarster	Derivative
duif	Unmotivated
huishoudster	Compound
gastvrouw	Compound
zangeres	Derivative
gravin	Unmotivated
heldin	Derivative
actrice	Derivative
verdedigster	Derivative
een springlevende zondaar	Phrase
inspecteurs	Unmotivated
pracht instructrice degelijk	Phrase
instrumentenkamer een röntgenassistent	Phrase
litause ingenieur	Phrase
onderhandelaar	Compound
hagedis	Unmotivated
toen huurster voor	Phrase
vrouwelijke krijgsgevangenen	Phrase
zakenvrouw	Compound
voorganger	Compound
kapster	Derivative
vriendin	Derivative
lesbische vriendin is vandaag opgedoken	Phrase
bondskanselier	Compound
de kapiteinse	Phrase
concertpianist	Compound
een gril spoorloos juweliersvrouw viel een vreemdsoortig	Phrase
werkster	Derivative
klantenkring	Compound
cliënte	Derivative
schatkamers na speuren	Phrase
de bibliothecaresse	Phrase
de hogepriesteres	Phrase
collega	Unmotivated
commissaris	Unmotivated
kamermeisje	Compound
drank	Unmotivated
schoonheid	Derivative
keukencheffin	Compound
koppelaarster vinden	Phrase
klanten	Unmotivated
leugenaar	Derivative
dezelfde bestelster andermaal	Phrase
de luitspeelster	Phrase
najagen zelf jager in	Phrase
arts	Unmotivated
schilderes	Derivative
mannequin	Unmotivated
vrouw	Unmotivated
masseuse	Derivative
medisch studente	Phrase
de berin	Phrase
mevrouw juana	Phrase
minnares	Derivative
minister	Unmotivated
krasse vrouw	Phrase
varkenssterfte - ziekte	Phrase
hulp	Unmotivated
onaantastbare modellen	Phrase
motorfiets	Compound
martelares	Derivative
oog	Unmotivated
gesluierde moslima	Phrase
filosoof whitney	Phrase
werkneemsters	Compound
de eigenares	Phrase
burgermeisje	Compound
naïeveling	Compound
ter vervanging	Phrase
gast	Unmotivated
arme vrouw hield	Phrase
zijn bruid	Phrase
journaliste	Derivative
picardië	Derivative
draagster	Derivative
coördinator	Derivative
slavin	Derivative
patiënte	Derivative
maagd	Unmotivated
vorstin	Derivative
mevrouw	Derivative
zijn partner dichthield	Phrase
ging konden passagier	Phrase
de patroonheilige van grote	Phrase
pianiste in bij-beroep uit	Phrase
ze zelfstandig ondernemer	Phrase
kamermeisje	Compound
politievrouw werd verhoord	Phrase
blijkbaar een politievrouw privécomputer	Phrase
politica	Derivative
van mevrouw	Phrase
jurist	Unmotivated
bestaansfase sporen	Phrase
premier	Unmotivated
president	Derivative
de prinses	Phrase
professor	Derivative
prostituee	Derivative
werkster	Derivative
beardsley zich hoorde veroorloven	Phrase
de psychologe	Phrase
typiste	Derivative
herderinnetje wordt cadeau gedaan aan	Phrase
pleegmoeder	Compound
avant-gardistische zangeres	Phrase
consulente op keer	Phrase
de verrader	Phrase
redactie uit alle macht	Phrase
het wijfje	Phrase
voorzitter van	Phrase
vicevoorzitter van	Phrase
boerin	Compound
secretaresse	Derivative
senator	Derivative
nichtje	Derivative
opvolger van	Phrase
de werkster	Phrase
