ancienne élève ecole	Phrase
avocat général	Phrase
un agent	Phrase
aristocrate	Compound
assistante	Derivative
auteure	Derivative
serveuse	Derivative
la baronne	Phrase
la baronne	Phrase
femme blonde	Phrase
soldates	Derivative
grand-mère pétard pudeurs	Phrase
la petite brune	Phrase
poétesse	Derivative
une fille adoptive	Phrase
institutrice qui pour elle-même	Phrase
la gardienne	Phrase
une étrangère	Phrase
la douane	Phrase
impératrice	Derivative
femelle donneuse	Phrase
diagnostic	Unmotivated
la doctoresse	Phrase
madame	Unmotivated
maîtresse	Derivative
la vendeuse	Phrase
admiratrice	Derivative
héritière	Derivative
ouvrière	Derivative
la concierge	Phrase
une philosophe existentialiste	Phrase
en pâtisserie	Phrase
agricultrice	Derivative
féministe	Derivative
belle foâmme	Phrase
philosophe jour	Phrase
photographe	Derivative
poursuite	Derivative
entrée de la maquerelle	Phrase
colombes	Unmotivated
ménagère	Derivative
hôte	Unmotivated
musiciens musiciennes danseuses distrayaient	Phrase
la comtesse	Phrase
héroïne	Derivative
actrice	Derivative
cause	Unmotivated
pécheresse	Derivative
cost-contrôleuse inspectrice	Phrase
monitrice	Derivative
jeune assistante – – course	Phrase
ingénieur	Unmotivated
négociatrice	Derivative
un lézard	Phrase
locataire	Derivative
prisonnière	Derivative
commerçante	Derivative
prédécesseur	Derivative
coiffeurs ici	Phrase
amie	Unmotivated
copine	Unmotivated
chancelière allemande	Phrase
fous	Unmotivated
pianiste appelât	Phrase
trésor	Unmotivated
la femme de ménage	Phrase
clientèle	Derivative
cliente femme	Phrase
trésor	Unmotivated
bibliothécaire	Derivative
prêtresse	Derivative
collègue	Derivative
commissaire	Derivative
femme de chambre	Phrase
alcool	Unmotivated
une beauté	Phrase
la cuisinière	Phrase
maquerelle	Derivative
cliente	Derivative
menteuse comme elle se connaît	Phrase
facteur le	Phrase
la luthiste	Phrase
chasseresse guide	Phrase
la doctoresse	Phrase
peintre	Unmotivated
mannequin	Unmotivated
épouse	Unmotivated
la masseuse	Phrase
ton étudiante en médecine	Phrase
perdu son ourson	Phrase
madame	Unmotivated
maîtresse	Derivative
ministre	Unmotivated
jeune une lourde responsabilité	Phrase
maladie	Derivative
ouvreuse de portes	Phrase
modèle dévêtu	Phrase
moto	Unmotivated
martyre	Derivative
mulâtresse	Derivative
une musulmane	Phrase
la philosophe	Phrase
travailleuse	Derivative
la directrice	Phrase
-ce juste petite bourgeoise	Phrase
naïve	Unmotivated
remplacement de	Phrase
la visiteuse	Phrase
hypersensibles la pauvre	Phrase
jeune mariée	Phrase
journaliste	Derivative
discours	Derivative
lauréate	Derivative
coordinatrice	Derivative
servante	Derivative
patiente	Derivative
vierge	Unmotivated
tsar	Unmotivated
mme	Unmotivated
partenaire	Unmotivated
passagère son	Phrase
dame patronnesse	Phrase
pianiste	Derivative
air	Unmotivated
femme de chambre	Phrase
de la police	Phrase
devant moi une policière	Phrase
femme politique	Phrase
députée	Derivative
avocate	Derivative
rescapée camps	Phrase
première ministre	Phrase
la présidente	Phrase
la princesse	Phrase
le professeur	Phrase
une prostituée	Phrase
assistante	Derivative
psychanalyste bienveillante passa	Phrase
psychologue	Derivative
dactylo	Unmotivated
pastoure	Derivative
vieille mère à chats	Phrase
une cantatrice viennoise	Phrase
conseil financier	Phrase
une traîtresse	Phrase
rédactrice	Derivative
