src-text	src-lang	tgt-text	tgt-lang	tgt-lang-var
сеть	rus	internetová síť	ces	106
jeune pousse	fra	začínající firma	ces	106
poulain	fra	žabec	ces	106
bod	eng	CHSK	ces	106
auricular	eng	auditivní	ces	106
здание	rus	budova	ces	106
строение	rus	budova	ces	106
herenhuis	nld	budova	ces	106
mansion	eng	budova	ces	106
здание	rus	budova	ces	106
здание	rus	budova	ces	106
structure	eng	budova	ces	106
здание	rus	budova	ces	106
здание	rus	budova	ces	106
строение	rus	budova	ces	106
здание	rus	budova	ces	106
строение	rus	budova	ces	106
строение	rus	budova	ces	106
сооружение	rus	budova	ces	106
здание	rus	budova	ces	106
structure	eng	budova	ces	106
structure	eng	budova	ces	106
здание	rus	budova	ces	106
здание	rus	budova	ces	106
здание	rus	budova	ces	106
здание	rus	budova	ces	106
здание	rus	budova	ces	106
structure	eng	budova	ces	106
fabric	eng	budova	ces	106
structure	eng	budova	ces	106
здание	rus	budova	ces	106
сооружение	rus	budova	ces	106
строение	rus	budova	ces	106
устройство	rus	budova	ces	106
здание	rus	budova	ces	106
сооружение	rus	budova	ces	106
строение	rus	budova	ces	106
Anlage	deu	budova	ces	106
fabric	eng	budova	ces	106
здание	rus	budova	ces	106
сооружение	rus	budova	ces	106
строение	rus	budova	ces	106
устройство	rus	budova	ces	106
tejido	spa	budova	ces	106
зев	rus	chřtán	ces	106
Dorf	deu	dědina	ces	106
dorp	nld	dědina	ces	106
village	eng	dědina	ces	106
aldea	spa	dědina	ces	106
dorp	nld	dědina	ces	106
dorp	nld	dědina	ces	106
village	eng	dědina	ces	106
Dorf	deu	dědina	ces	106
village	eng	dědina	ces	106
hamlet	eng	dědina	ces	106
hameau	fra	dědina	ces	106
ху́тор	rus	dědina	ces	106
village	eng	dědina	ces	106
Dorf	deu	dědina	ces	106
dorp	nld	dědina	ces	106
aldea	spa	dědina	ces	106
Dorf	deu	dědina	ces	106
village	eng	dědina	ces	106
dorp	nld	dědina	ces	106
aldea	spa	dědina	ces	106
village	eng	dědina	ces	106
dorp	nld	dědina	ces	106
Dörfchen	deu	dědina	ces	106
Querstraßen	deu	dědina	ces	106
Wegscheide	deu	dědina	ces	106
kleines Dorf	deu	dědina	ces	106
country house	eng	dědina	ces	106
croisée des chemins	fra	dědina	ces	106
hameau	fra	dědina	ces	106
negorij	nld	dědina	ces	106
uithoek	nld	dědina	ces	106
деревушка	rus	dědina	ces	106
хутор	rus	dědina	ces	106
aldea	spa	dědina	ces	106
aldehuela	spa	dědina	ces	106
cruce de carreteras	spa	dědina	ces	106
villorio	spa	dědina	ces	106
cylinder	eng	cylindr	ces	106
cylinder	eng	cylindr	ces	106
cylindre	fra	cylindr	ces	106
лампа	rus	elektronka	ces	106
Röhre	deu	elektronka	ces	106
valve	eng	elektronka	ces	106
лампа	rus	elektronka	ces	106
tube	eng	elektronka	ces	106
valve	eng	elektronka	ces	106
Gewicht	deu	důraz	ces	106
spit	eng	házeti	ces	106
design	eng	házeti	ces	106
spit	eng	házeti	ces	106
a little castle	eng	hrádek	ces	106
foal	eng	hříbě	ces	106
potro	spa	hříbě	ces	106
жеребёнок	rus	hříbě	ces	106
жеребёнок	rus	hříbě	ces	106
Fohlen	deu	hříbě	ces	106
poulain	fra	hříbě	ces	106
potro	spa	hříbě	ces	106
foal	eng	hříbě	ces	106
poulain	fra	hříbě	ces	106
Fohlen	deu	hříbě	ces	106
Füllen	deu	hříbě	ces	106
potro	spa	hříbě	ces	106
potro	spa	hříbě	ces	106
potro	spa	hříbě	ces	106
foal	eng	hříbě	ces	106
veulen	nld	hříbě	ces	106
poulain	fra	hříbě	ces	106
foal	eng	hříbě	ces	106
potro	spa	hříbě	ces	106
Fohlen	deu	hříbě	ces	106
foal	eng	hříbě	ces	106
poulain	fra	hříbě	ces	106
veulen	nld	hříbě	ces	106
žerebjónok	rus	hříbě	ces	106
potro	spa	hříbě	ces	106
Füllen	deu	hříbě	ces	106
foal	eng	hříbě	ces	106
poulain	fra	hříbě	ces	106
жеребёнок	rus	hříbě	ces	106
potro	spa	hříbě	ces	106
foal	eng	hříbě	ces	106
Fohlen	deu	hříbě	ces	106
Füllen	deu	hříbě	ces	106
poulain	fra	hříbě	ces	106
veulen	nld	hříbě	ces	106
жеребёнок	rus	hříbě	ces	106
potro	spa	hříbě	ces	106
potra	spa	hříbě	ces	106
poulain	fra	hříbě	ces	106
Fohlen	deu	hříbě	ces	106
foal	eng	hříbě	ces	106
жеребёнок	rus	hříbě	ces	106
potro	spa	hříbě	ces	106
Fohlen	deu	hříbě	ces	106
foal	eng	hříbě	ces	106
poulain	fra	hříbě	ces	106
veulen	nld	hříbě	ces	106
жеребёнок	rus	hříbě	ces	106
potra	spa	hříbě	ces	106
