architecte	Derivative
adjoint	Derivative
joueur	Derivative
voyageur	Derivative
coach	Unmotivated
impératrice	Derivative
diagnose	Derivative
camarade	Unmotivated
vendeur	Derivative
gymnaste	Derivative
entremetteur	Derivative
maîtresse de maison	Phrase
hôte	Unmotivated
hôte	Unmotivated
comtesse	Derivative
squamate	Unmotivated
châtaigne de mer	Phrase
merlan	Unmotivated
camarade	Unmotivated
pianiste	Derivative
modiste	Derivative
collegue	Unmotivated
adultère	Derivative
skieur	Derivative
mannequin	Unmotivated
manucure	Unmotivated
épouse	Unmotivated
maitresse	Derivative
galant	Unmotivated
sœur	Unmotivated
adjoint	Derivative
mannequin	Unmotivated
motocyclette	Derivative
modiste	Derivative
balourd	Unmotivated
visiteur	Derivative
damoche	Unmotivated
baby-sitter	Compound
prince	Unmotivated
professeur	Derivative
radasse	Derivative
psychologue	Derivative
bergère	Derivative
prieure	Derivative
camarade	Unmotivated
saxophone	Derivative
sculpteur	Derivative
athlète	Unmotivated
bourgmestre	Compound
hotesse	Derivative
pouceux	Derivative
adultère	Derivative
épousailles	Derivative
belle doche	Phrase
joueur de tennis	Phrase
grèbe	Unmotivated
vide bouteille	Phrase
canal	Unmotivated
crayon	Unmotivated
navet	Unmotivated
chantre	Unmotivated
arsenal	Derivative
chipie	Unmotivated
garçon	Unmotivated
chauffeur	Derivative
sœur	Unmotivated
espionnage	Derivative
belle-soeur	Compound
