licenciada en	Phrase
la abogada	Phrase
agente	Derivative
una aristócrata	Phrase
matrona	Derivative
autora	Derivative
camarera	Derivative
británica señora	Phrase
la baronesa	Phrase
rubia sin embargo	Phrase
guerrera	Derivative
un fierro así tiene nada	Phrase
morena mofletuda y	Phrase
poeta	Unmotivated
pupila	Unmotivated
institutriz	Derivative
guardiana	Derivative
una extranjera	Phrase
aduanas	Unmotivated
emperatriz	Derivative
donante	Derivative
el diagnóstico	Phrase
la doctora	Phrase
la camarada	Phrase
ganadora premio	Phrase
la vendedora	Phrase
bobalicona devota	Phrase
heredera	Unmotivated
obreras	Derivative
la portera	Phrase
una existencialista que	Phrase
una experta docente preparada	Phrase
una agricultora	Phrase
es una feminista	Phrase
una preciosidad	Phrase
filósofa	Derivative
la fotógrafa	Phrase
persecución	Derivative
casamentera redomada	Phrase
la paloma	Phrase
amas de casa	Phrase
anfitriona	Unmotivated
tañedoras ya habían retirado	Phrase
condesa	Derivative
la heroína	Phrase
actriz	Unmotivated
giannini	Unmotivated
sequedad culpables	Phrase
la supervisora	Phrase
ladró instructora	Phrase
enfermera instrumentista	Phrase
ingeniera de	Phrase
negociador	Derivative
un lagarto	Phrase
inquilina las cajas	Phrase
prisionera	Derivative
insigne comerciante	Phrase
predecesora	Derivative
la peluquera	Phrase
amiga	Derivative
amiga	Derivative
la canciller	Phrase
han nombrado capitana	Phrase
la pianista	Phrase
tesoro	Derivative
la asistenta	Phrase
clientela	Unmotivated
cliente	Derivative
tesoro	Derivative
la bibliotecaria	Phrase
sacerdotisa	Derivative
colega	Unmotivated
comisaria	Derivative
la doncella	Phrase
caña	Unmotivated
belleza	Derivative
la cocinera	Phrase
alcahueta	Derivative
cliente	Derivative
tan embustera	Phrase
descolgado mujer	Phrase
la mujer que toca el laúd	Phrase
cazadora solitaria	Phrase
la médica	Phrase
pintora	Unmotivated
maniquí	Derivative
esposa	Unmotivated
la masajista	Phrase
médica en cuestión	Phrase
orión la osa mayor la	Phrase
señora	Derivative
amante	Unmotivated
ministra	Derivative
una jovencita	Phrase
enfermos	Unmotivated
asistenta	Derivative
modelo	Unmotivated
moto	Unmotivated
mártir	Derivative
mulata	Unmotivated
una musulmana llorando	Phrase
filósofa	Derivative
agente	Derivative
la dueña	Phrase
una burguesa muy mimada	Phrase
desconocen las circunstancias	Phrase
sustitución de	Phrase
visitantes	Unmotivated
pobre mujer	Phrase
joven recién casada	Phrase
periodista	Derivative
manos	Unmotivated
premio	Unmotivated
coordinadora	Derivative
esclava	Unmotivated
la paciente	Phrase
una virgen	Phrase
soberana había estrenar	Phrase
la señora	Phrase
pareja	Unmotivated
se permitiese pasajera	Phrase
patrona	Unmotivated
la pianista	Phrase
empresaria	Unmotivated
la camarera	Phrase
policía tomó declaración	Phrase
policía	Derivative
política	Derivative
diputada	Derivative
abogada	Unmotivated
una refugiada birmana	Phrase
primera ministra	Phrase
la presidenta	Phrase
la princesa	Phrase
la profesora	Phrase
prostituta	Unmotivated
asistente social	Phrase
psicoanalista	Derivative
psicóloga	Derivative
mecanógrafa	Derivative
una pastorcilla báculo	Phrase
niñera	Derivative
cantante	Derivative
tutora	Derivative
una traidora	Phrase
la correctora	Phrase
la hembra	Phrase
presidenta	Derivative
vicepresidenta de	Phrase
la campesina	Phrase
secretaria	Derivative
la senadora	Phrase
prima hermana	Phrase
digna émula	Phrase
la asistenta	Phrase
sirvienta	Unmotivated
su empleo esas circunstancias dicha nacional turca	Phrase
presentó mi díscípula	Phrase
novia	Unmotivated
adalid	Unmotivated
rival	Unmotivated
persona condenada	Phrase
la jueza	Phrase
vecina asiento	Phrase
téngase presente compañera lecho	Phrase
de colaboradora de	Phrase
una deportista	Phrase
cuidadora	Derivative
alcaldesa	Derivative
la anciana	Phrase
las ellenjamesianas	Phrase
striptease	Compound
paloma	Unmotivated
estudiante	Derivative
madre superiora	Phrase
representante	Derivative
un mecano	Phrase
inmigrantes	Unmotivated
con mediadora	Phrase
sus compañeras cazadoras	Phrase
guardiana de	Phrase
la prevención	Phrase
boda	Unmotivated
una santa mujer	Phrase
secretaria	Derivative
su suegra	Phrase
técnica sonido	Phrase
telegrafista	Derivative
intérprete	Unmotivated
una buscona	Phrase
vendedora había hablado	Phrase
una pescadera largarte	Phrase
tubos	Unmotivated
la trompeta	Phrase
las enanas	Phrase
lápiz	Unmotivated
treinta años	Phrase
puñetera	Derivative
artista	Unmotivated
era entonces aprendiza	Phrase
la maestra	Phrase
embajadora	Derivative
una campesina	Phrase
vicepresidente	Derivative
una patriota	Phrase
una loba	Phrase
monarca	Unmotivated
nabos	Unmotivated
una asesina	Phrase
figura	Unmotivated
una embajadora	Phrase
una experta	Phrase
una impostora	Phrase
sala acomodadora	Phrase
la líder	Phrase
una corredora	Phrase
persona confianza	Phrase
investigadora sentir	Phrase
espías	Derivative
una pitonisa	Phrase
representante de	Phrase
sala de armas	Phrase
una enfermera de campaña	Phrase
la pelirroja	Phrase
ladrona	Unmotivated
la cantante	Phrase
la guardiana	Phrase
bruja	Unmotivated
bruja	Unmotivated
la negra	Phrase
demonio	Derivative
miembro de	Phrase
cuarentona	Derivative
— parte coadyuvante	Phrase
lectora	Derivative
las camareras	Phrase
la directora	Phrase
el lado conductora	Phrase
tablero	Derivative
una campeona	Phrase
enfermera	Derivative
una colegiala	Phrase
violencia carnal una ricadueña	Phrase
espionaje	Derivative
una puta	Phrase
cuñada	Derivative
jefa	Derivative
la redactora jefe	Phrase
judía salida	Phrase
una pordiosera	Phrase
la demandante	Phrase
alumnas	Unmotivated
