Feature	English	German	Dutch	Russian	French	Spanish
kolik_se_najde_prekladu_z_cs_do_ostatnich	116	74	90	83	92	104
kolik_se_najde_prekladu_z_ostatnich_do_cs	116	74	90	83	92	104
kolik_se_najde_prekladu_z_cs_pres_ostatni_do_cs	116	74	90	83	92	104
jaky_je_prumerny_pocet_kandidatu_pri_cs_do_ostatni	1.83	1.49	1.71	1.55	1.78	1.72
jaky_je_prumerny_pocet_kandidatu_pri_ostatni_do_cs	3.4	4.04	3.16	3.07	4.57	3.57
jaky_je_prumerny_pocet_kandidatu_pri_cs_pres_ostatni_do_cs	3.4	4.04	3.16	3.07	4.57	3.57
kolik_kompletnich_prekladu_ma_pouze_pozadovanou_formu	33	20	34	26	23	27
kolik_kompletnich_prekladu_ma_soucasti_pozadovanou_formu	116	74	90	83	92	104
kolik_kompletnich_prekladu_ma_pouze_neutralni_formu	0	0	0	0	0	0
kolik_kompletnich_prekladu_ma_soucasti_neutralni_formu	29	21	22	23	32	32
kolik_prekladu_z_cs_do_ostatni_je_kopie	1	0	0	0	0	1
kolik_prekladu_z_ostatni_do_cs_je_kopie	1	0	0	0	0	1

kolik_prekladu_pro_vsechny_jazyky	48
