where anybody with halfdecent marks	Phrase
lawyer	Compound
agent	Derivative
upper-crust femme	Phrase
assistant	Derivative
author	Unmotivated
bottles by an overworked barmaid	Phrase
baroness	Derivative
baroness	Derivative
the blonde	Phrase
fighters	Derivative
gun	Unmotivated
brunette client	Phrase
poet	Unmotivated
left ladyship	Phrase
governess	Derivative
guardian of	Phrase
foreigner	Derivative
customs	Unmotivated
empress	Derivative
donor	Derivative
diagnosis	Unmotivated
woman doctor	Phrase
comrade	Unmotivated
this keeper	Phrase
the salesgirl	Phrase
number one fan	Phrase
an heiress	Phrase
workers	Derivative
the concierge	Phrase
also an existential philosopher	Phrase
ministry-trained expert	Phrase
farm woman	Phrase
feminist	Derivative
she a looloo	Phrase
philosopher	Derivative
woman	Unmotivated
chase	Unmotivated
pitiless matchmaker	Phrase
dove	Unmotivated
housekeeper	Compound
hostess	Derivative
musicians prostitutes	Phrase
the countess	Phrase
heroine	Unmotivated
actress	Derivative
says steadily defence attorney	Phrase
sinner	Derivative
female detective	Phrase
instructress	Derivative
the scrub nurse	Phrase
lithuaynian engineer	Phrase
negotiator	Derivative
a lizard	Phrase
woman went over	Phrase
prisoner	Derivative
businesswoman	Compound
predecessor	Derivative
hairdresser	Compound
friend	Unmotivated
friend	Unmotivated
by chancellor	Phrase
the captain	Phrase
a pianist	Phrase
treasures	Unmotivated
cleaning woman	Phrase
clientele	Derivative
client	Unmotivated
treasury	Derivative
librarian	Derivative
priestess	Derivative
colleague	Unmotivated
commissioner	Derivative
maid say	Phrase
schnapps	Unmotivated
beauty	Unmotivated
the cook	Phrase
procuress placed	Phrase
customer	Derivative
a liar	Phrase
same woman again	Phrase
the lute-player	Phrase
tree-hunter	Compound
a doctor	Phrase
painter	Derivative
a model	Phrase
wife	Unmotivated
the masseuse	Phrase
medical student	Phrase
bear	Unmotivated
miss	Unmotivated
mistress	Unmotivated
minister	Unmotivated
young woman	Phrase
illness	Derivative
porters	Unmotivated
model	Unmotivated
bike	Unmotivated
martyr	Unmotivated
mulatto woman	Phrase
muslim woman	Phrase
philosopher	Derivative
staff	Unmotivated
the proprietress	Phrase
degenerate little rich girl	Phrase
wide-eyed expression	Phrase
place of	Phrase
visitor	Derivative
poor woman	Phrase
new wife	Phrase
a journalist	Phrase
senior undersecretary to	Phrase
bearer	Derivative
coordinator	Derivative
slave	Unmotivated
patient	Unmotivated
a maid	Phrase
the dowager	Phrase
by mrs	Phrase
partner	Unmotivated
stands	Derivative
patron saints	Phrase
pianist—i would lie	Phrase
freelancer	Compound
the maid	Phrase
a cop	Phrase
a policewoman	Phrase
politician	Derivative
member	Unmotivated
a lawyer	Phrase
refugee	Derivative
prime minister	Phrase
president	Derivative
princess	Derivative
professor	Derivative
prostitute	Unmotivated
worker	Derivative
beardsley college psychoanalyst permit	Phrase
psychologist	Derivative
typist	Derivative
a shepherdess	Phrase
while his foster mother	Phrase
singer	Derivative
adviser	Derivative
traitor	Derivative
editor	Derivative
females	Unmotivated
president	Derivative
vice-president of	Phrase
woman	Unmotivated
secretary	Derivative
she senator	Phrase
cousin	Unmotivated
follower	Derivative
cleaner	Derivative
servant	Derivative
member of	Phrase
auditor	Derivative
fiancée	Derivative
a socialist	Phrase
rivals	Unmotivated
cast condemned	Phrase
judge	Unmotivated
neighbour	Unmotivated
bed-mate	Compound
teachers	Unmotivated
sportsmen women	Phrase
curator	Derivative
hosted by mayor	Phrase
old woman	Phrase
lookout	Compound
stripper	Derivative
instigator	Derivative
student	Derivative
mother superior	Phrase
representative	Derivative
kit	Unmotivated
immigrants	Unmotivated
mediator	Derivative
chaser	Derivative
guardian of	Phrase
post	Unmotivated
wedding	Derivative
a saint	Phrase
secretary of	Phrase
mother-in-law	Compound
technician	Derivative
telegraphist virginia stretched	Phrase
the interpreter	Phrase
a tramp	Phrase
woman gazed after him dumbfounded	Phrase
teachings women trading	Phrase
tubes	Unmotivated
trumpet	Derivative
midget	Derivative
pencil	Unmotivated
woman in her thirties	Phrase
naughty girl	Phrase
artist	Derivative
cheb an apprentice	Phrase
teacher	Derivative
ambassador to	Phrase
peasant woman	Phrase
vice	Unmotivated
a patriot	Phrase
she-wolf	Compound
mistress of	Phrase
turnips	Unmotivated
killer	Derivative
contours	Unmotivated
act emissary	Phrase
an expert	Phrase
a fraud	Phrase
the usherette	Phrase
the leader-goose	Phrase
is not a racer	Phrase
confidante	Derivative
women scientists	Phrase
spies	Unmotivated
fortune-teller	Compound
representative	Derivative
firehouse	Compound
a nurse	Phrase
the redhead	Phrase
book thief	Phrase
the singer	Phrase
the warder	Phrase
witch	Unmotivated
witch	Unmotivated
black woman	Phrase
little beasts	Phrase
member of	Phrase
woman in her forties	Phrase
third party	Phrase
reader	Derivative
waitress	Derivative
the directress	Phrase
driver	Unmotivated
chessboard	Compound
the champion in my class	Phrase
nurse	Unmotivated
a schoolgirl	Phrase
blue blood	Phrase
espionage	Derivative
tart	Unmotivated
sister-in-law	Compound
boss	Unmotivated
editor-in-chief	Compound
the jewess	Phrase
beggar-woman answered	Phrase
the applicant	Phrase
student	Derivative
