where anybody with halfdecent marks	Phrase
lawyer	Unmarked
agent	Derivative
upper-crust femme	Phrase
assistant	Derivative
author	Unmarked
bottles by an overworked barmaid	Phrase
baroness	Derivative
baroness	Derivative
blonde	Phrase
fighters	Derivative
gun	Unmotivated
brunette client	Phrase
poet	Unmotivated
left ladyship	Phrase
governess	Derivative
guardian of	Phrase
foreigner	Unmarked
customs	Unmotivated
empress	Derivative
donor	Unmarked
diagnosis	Unmotivated
woman doctor	Phrase
comrade	Unmotivated
this keeper	Phrase
salesgirl	Compound
number one fan	Phrase
heiress	Derivative
workers	Derivative
concierge	Phrase
also an existential philosopher	Phrase
ministry-trained expert	Phrase
farm woman	Phrase
feminist	Unmarked
she a looloo	Phrase
philosopher	Unmarked
woman	Unmotivated
chase	Unmotivated
pitiless matchmaker	Phrase
dove	Unmotivated
housekeeper	Unmarked
hostess	Derivative
musicians prostitutes	Phrase
countess	Derivative
heroine	Derivative
actress	Derivative
says steadily defence attorney	Phrase
sinner	Unmarked
female detective	Phrase
instructress	Derivative
scrub nurse	Phrase
lithuaynian engineer	Phrase
negotiator	Unmarked
lizard	Phrase
woman went over	Phrase
prisoner	Unmarked
businesswoman	Compound
predecessor	Unmarked
hairdresser	Unmarked
friend	Unmotivated
friend	Unmotivated
by chancellor	Phrase
captain	Phrase
pianist	Unmarked
treasures	Unmotivated
cleaning woman	Phrase
clientele	Derivative
client	Unmotivated
treasury	Derivative
librarian	Derivative
priestess	Derivative
colleague	Unmotivated
commissioner	Unmarked
maid say	Phrase
schnapps	Unmotivated
beauty	Unmotivated
cook	Phrase
procuress placed	Phrase
customer	Unmarked
liar	Phrase
same woman again	Phrase
lute-player	Compound
tree-hunter	Compound
doctor	Unmarked
painter	Unmarked
model	Phrase
wife	Unmotivated
masseuse	Phrase
medical student	Phrase
bear	Unmotivated
miss	Unmotivated
mistress	Derivative
minister	Unmarked
young woman	Phrase
illness	Derivative
porters	Unmotivated
model	Unmotivated
bike	Unmotivated
martyr	Unmotivated
mulatto woman	Phrase
muslim woman	Phrase
philosopher	Unmarked
staff	Unmotivated
proprietress	Derivative
degenerate little rich girl	Phrase
wide-eyed expression	Phrase
place of	Phrase
visitor	Unmarked
poor woman	Phrase
new wife	Phrase
journalist	Unmarked
senior undersecretary to	Phrase
bearer	Unmarked
coordinator	Unmarked
slave	Unmotivated
patient	Unmotivated
maid	Phrase
dowager	Unmarked
by mrs	Phrase
partner	Unmarked
stands	Derivative
patron saints	Phrase
pianist—i would lie	Phrase
freelancer	Unmarked
maid	Phrase
cop	Phrase
policewoman	Compound
politician	Derivative
member	Unmarked
lawyer	Unmarked
refugee	Derivative
prime minister	Phrase
president	Derivative
princess	Derivative
professor	Unmarked
prostitute	Unmotivated
worker	Unmarked
beardsley college psychoanalyst permit	Phrase
psychologist	Unmarked
typist	Unmarked
shepherdess	Derivative
while his foster mother	Phrase
singer	Unmarked
adviser	Unmarked
traitor	Unmarked
editor	Unmarked
females	Unmotivated
president	Derivative
vice-president of	Phrase
woman	Unmotivated
secretary	Derivative
she senator	Phrase
cousin	Unmotivated
follower	Unmarked
cleaner	Unmarked
servant	Derivative
member of	Phrase
auditor	Unmarked
fiancée	Derivative
socialist	Unmarked
rivals	Unmotivated
cast condemned	Phrase
judge	Unmotivated
neighbour	Unmotivated
bed-mate	Compound
teachers	Unmotivated
sportsmen women	Phrase
curator	Unmarked
hosted by mayor	Phrase
old woman	Phrase
lookout	Compound
stripper	Unmarked
instigator	Unmarked
student	Derivative
mother superior	Phrase
representative	Derivative
kit	Unmotivated
immigrants	Unmotivated
mediator	Unmarked
chaser	Unmarked
guardian of	Phrase
post	Unmotivated
wedding	Derivative
saint	Phrase
secretary of	Phrase
mother-in-law	Compound
technician	Derivative
telegraphist virginia stretched	Phrase
interpreter	Unmarked
tramp	Phrase
woman gazed after him dumbfounded	Phrase
teachings women trading	Phrase
tubes	Unmotivated
trumpet	Derivative
midget	Derivative
pencil	Unmotivated
woman in her thirties	Phrase
naughty girl	Phrase
artist	Unmarked
cheb an apprentice	Phrase
teacher	Unmarked
ambassador to	Phrase
peasant woman	Phrase
vice	Unmotivated
patriot	Phrase
she-wolf	Compound
mistress of	Phrase
turnips	Unmotivated
killer	Unmarked
contours	Unmotivated
act emissary	Phrase
expert	Phrase
fraud	Phrase
usherette	Compound
leader-goose	Compound
is not a racer	Phrase
confidante	Derivative
women scientists	Phrase
spies	Unmotivated
fortune-teller	Compound
representative	Derivative
firehouse	Compound
nurse	Phrase
redhead	Phrase
book thief	Phrase
singer	Unmarked
warder	Unmarked
witch	Unmotivated
witch	Unmotivated
black woman	Phrase
little beasts	Phrase
member of	Phrase
woman in her forties	Phrase
third party	Phrase
reader	Unmarked
waitress	Derivative
directress	Derivative
driver	Unmarked
chessboard	Compound
champion in my class	Phrase
nurse	Unmotivated
schoolgirl	Compound
blue blood	Phrase
espionage	Derivative
tart	Unmotivated
sister-in-law	Compound
boss	Unmotivated
editor-in-chief	Compound
jewess	Derivative
beggar-woman answered	Phrase
applicant	Phrase
student	Derivative
