src-text	src-lang	tgt-text	tgt-lang	tgt-lang-var
coach	eng	zkušený odborný poradce	ces	106
тренер	rus	zkušený odborný poradce	ces	106
Chrétien	fra	Křesťan	ces	106
Christ	deu	Křesťan	ces	106
Christian	eng	Křesťan	ces	106
Röhre	deu	elektronka	ces	106
tube	eng	elektronka	ces	106
tubo	spa	elektronka	ces	106
tubo	spa	cylindr	ces	106
beauty	eng	kráska	ces	106
красавица	rus	kráska	ces	106
красотка	rus	kráska	ces	106
beauty	eng	kráska	ces	106
beauté	fra	kráska	ces	106
belle	fra	kráska	ces	106
Schöne	deu	kráska	ces	106
Schönheit	deu	kráska	ces	106
belleza	spa	kráska	ces	106
hermosura	spa	kráska	ces	106
fraaiheid	nld	kráska	ces	106
knapheid	nld	kráska	ces	106
schoonheid	nld	kráska	ces	106
schone	nld	kráska	ces	106
schone vrouw	nld	kráska	ces	106
beauty	eng	kráska	ces	106
belleza	spa	kráska	ces	106
guapa	spa	kráska	ces	106
beauty	eng	kráska	ces	106
Schönheit	deu	kráska	ces	106
Schöne	deu	kráska	ces	106
beauté	fra	kráska	ces	106
schoonheid	nld	kráska	ces	106
schone	nld	kráska	ces	106
красо́тка	rus	kráska	ces	106
краса́вица	rus	kráska	ces	106
belle	eng	kráska	ces	106
Schönheit	deu	kráska	ces	106
Schöne	deu	kráska	ces	106
beauté	fra	kráska	ces	106
belle	fra	kráska	ces	106
красотка	rus	kráska	ces	106
краса́вица	rus	kráska	ces	106
beauté	fra	kráska	ces	106
Schönheit	deu	kráska	ces	106
Schöne	deu	kráska	ces	106
beauty	eng	kráska	ces	106
красавица	rus	kráska	ces	106
bella	spa	kráska	ces	106
beauty	eng	kráska	ces	106
belle	fra	kráska	ces	106
красавица	rus	kráska	ces	106
belleza	spa	kráska	ces	106
harper	eng	louda	ces	106
копуша	rus	louda	ces	106
harper	eng	louda	ces	106
harper	eng	louda	ces	106
копуша	rus	louda	ces	106
duck	eng	kačka	ces	106
Ente	deu	kačka	ces	106
у́тка	rus	kačka	ces	106
cane	fra	kačka	ces	106
pata	spa	kačka	ces	106
-n	deu	kopule	ces	106
business	eng	linie práce	ces	106
Kraftfahrrad	deu	motorka	ces	106
Motorrad	deu	motorka	ces	106
motor	nld	motorka	ces	106
motorfiets	nld	motorka	ces	106
moto	fra	motorka	ces	106
motorbike	eng	motorka	ces	106
motorcycle	eng	motorka	ces	106
moto	spa	motorka	ces	106
мотоцикл	rus	motorka	ces	106
мотоциклетка	rus	motorka	ces	106
мотоцикл	rus	motorka	ces	106
minibike	eng	motorka	ces	106
motorbike	eng	motorka	ces	106
motorcycle	eng	motorka	ces	106
moto	fra	motorka	ces	106
Motorrad	deu	motorka	ces	106
moto	spa	motorka	ces	106
motor	nld	motorka	ces	106
motorbike	eng	motorka	ces	106
motorcycle	eng	motorka	ces	106
Motorrad	deu	motorka	ces	106
motorcycle	eng	motorka	ces	106
motor-cycle	eng	motorka	ces	106
motorbike	eng	motorka	ces	106
bike	eng	motorka	ces	106
motor-bike	eng	motorka	ces	106
motocyclette	fra	motorka	ces	106
moto	fra	motorka	ces	106
motocycle	fra	motorka	ces	106
motorfiets	nld	motorka	ces	106
brommer	nld	motorka	ces	106
motocíkl	rus	motorka	ces	106
motocicleta	spa	motorka	ces	106
moto	spa	motorka	ces	106
bike	eng	motorka	ces	106
Motorrad	deu	motorka	ces	106
moto	fra	motorka	ces	106
мотоци́кл	rus	motorka	ces	106
moto	spa	motorka	ces	106
moto	fra	motorka	ces	106
Motorrad	deu	motorka	ces	106
Kraftfahrrad	deu	motorka	ces	106
motorcycle	eng	motorka	ces	106
motorbike	eng	motorka	ces	106
motorfiets	nld	motorka	ces	106
motor	nld	motorka	ces	106
мотоцикл	rus	motorka	ces	106
moto	spa	motorka	ces	106
Krad	deu	motorka	ces	106
Kraftrad	deu	motorka	ces	106
Motorrad	deu	motorka	ces	106
bike	eng	motorka	ces	106
minibike	eng	motorka	ces	106
motorbike	eng	motorka	ces	106
motorcycle	eng	motorka	ces	106
moto	fra	motorka	ces	106
motocyclette	fra	motorka	ces	106
vélomoteur	fra	motorka	ces	106
motor	nld	motorka	ces	106
motorfiets	nld	motorka	ces	106
motorrijwiel	nld	motorka	ces	106
мотоцикл	rus	motorka	ces	106
moto	spa	motorka	ces	106
motocicleta	spa	motorka	ces	106
motor	nld	motorka	ces	106
Krad	deu	motorka	ces	106
Kraftrad	deu	motorka	ces	106
Motorrad	deu	motorka	ces	106
bike	eng	motorka	ces	106
motorbike	eng	motorka	ces	106
motorcycle	eng	motorka	ces	106
moto	fra	motorka	ces	106
motocyclette	fra	motorka	ces	106
vélomoteur	fra	motorka	ces	106
motorfiets	nld	motorka	ces	106
машина	rus	motorka	ces	106
мотоцикл	rus	motorka	ces	106
moto	spa	motorka	ces	106
motocicleta	spa	motorka	ces	106
motora	spa	motorka	ces	106
motorcycle	eng	motorka	ces	106
motorcycle	eng	motorka	ces	106
motor	nld	motorka	ces	106
мотоцикл	rus	motorka	ces	106
motocicleta	spa	motorka	ces	106
-n	deu	pohled	ces	106
fool	eng	pošetilec	ces	106
fool	eng	pošetilec	ces	106
Einfaltspinsel	deu	pošetilec	ces	106
fool	eng	pošetilec	ces	106
Narr	deu	pošetilec	ces	106
Trottel	deu	pošetilec	ces	106
Dummkopf	deu	pošetilec	ces	106
Tor	deu	pošetilec	ces	106
idiot	fra	pošetilec	ces	106
imbécile	fra	pošetilec	ces	106
tonto	spa	pošetilec	ces	106
Blödmann	deu	pošetilec	ces	106
Depp	deu	pošetilec	ces	106
Dummerchen	deu	pošetilec	ces	106
Dummkopf	deu	pošetilec	ces	106
Einfaltspinsel	deu	pošetilec	ces	106
Esel	deu	pošetilec	ces	106
Hohlkopf	deu	pošetilec	ces	106
Hornochse	deu	pošetilec	ces	106
Idiot	deu	pošetilec	ces	106
Narr	deu	pošetilec	ces	106
Schwachkopf	deu	pošetilec	ces	106
Tor	deu	pošetilec	ces	106
Tropf	deu	pošetilec	ces	106
Trottel	deu	pošetilec	ces	106
fool	eng	pošetilec	ces	106
idiot	eng	pošetilec	ces	106
abruti	fra	pošetilec	ces	106
andouille	fra	pošetilec	ces	106
balourd	fra	pošetilec	ces	106
bêta	fra	pošetilec	ces	106
bête	fra	pošetilec	ces	106
crétin	fra	pošetilec	ces	106
idiot	fra	pošetilec	ces	106
imbécile	fra	pošetilec	ces	106
sot	fra	pošetilec	ces	106
domoor	nld	pošetilec	ces	106
ezel	nld	pošetilec	ces	106
kloris	nld	pošetilec	ces	106
oen	nld	pošetilec	ces	106
балбес	rus	pošetilec	ces	106
балда	rus	pošetilec	ces	106
дурак	rus	pošetilec	ces	106
дурень	rus	pošetilec	ces	106
придурок	rus	pošetilec	ces	106
простак	rus	pošetilec	ces	106
тупица	rus	pošetilec	ces	106
translator	eng	překladač	ces	106
translator	eng	překladač	ces	106
врач	rus	terapeut	ces	106
acquaintance	eng	zkušenost	ces	106
acquaintance	eng	zkušenost	ces	106
artisan	fra	vynálezce	ces	106
auteur	fra	vynálezce	ces	106
schepper	nld	vynálezce	ces	106
Wettkämpfer	deu	vyzývatel	ces	106
adversaire	fra	vyzývatel	ces	106
opposant	fra	vyzývatel	ces	106
-er	deu	-ec	ces	106
Ms.	eng	Sl.	ces	106
Miss	eng	Sl.	ces	106
basketball player	eng	basketbalistka	ces	106
Basketballspieler	deu	basketbalistka	ces	106
Basketballer	deu	basketbalistka	ces	106
basketteuse	fra	basketbalistka	ces	106
basketteur	fra	basketbalistka	ces	106
баскетболи́стка	rus	basketbalistka	ces	106
баскетболи́ст	rus	basketbalistka	ces	106
baloncestista	spa	basketbalistka	ces	106
center	eng	tříčtvrtka	ces	106
handball player	eng	házenkářka	ces	106
гандболи́ст	rus	házenkářka	ces	106
гандболи́стка	rus	házenkářka	ces	106
balonmanista	spa	házenkářka	ces	106
ice hockey player	eng	hokejistka	ces	106
Eishockeyspielerin	deu	hokejistka	ces	106
Eishockeyspieler	deu	hokejistka	ces	106
hockeyeur	fra	hokejistka	ces	106
hockeyeuse	fra	hokejistka	ces	106
хоккеи́ст	rus	hokejistka	ces	106
corva	spa	podkolenní jamka	ces	106
prince	eng	žampion císařský	ces	106
rugby player	eng	ragbistka	ces	106
volleyballer	eng	volejbalistka	ces	106
волейболи́стка	rus	volejbalistka	ces	106
волейболи́ст	rus	volejbalistka	ces	106
voleibolista	spa	volejbalistka	ces	106
prostitute	eng	nevěstkdda	ces	106
prostituée	fra	nevěstkdda	ces	106
Hure	deu	nevěstkdda	ces	106
Prostituierte	deu	nevěstkdda	ces	106
Dirne	deu	nevěstkdda	ces	106
whore	eng	nevěstkdda	ces	106
prostituee	nld	nevěstkdda	ces	106
hoer	nld	nevěstkdda	ces	106
проститутка	rus	nevěstkdda	ces	106
prostituta	spa	nevěstkdda	ces	106
piruja	spa	nevěstkdda	ces	106
pelandusca	spa	nevěstkdda	ces	106
ginecóloga	spa	ženská lékařka	ces	106
Frauenärztin	deu	ženská lékařka	ces	106
Gynäkologin	deu	ženská lékařka	ces	106
Ziffernaddiereinrichtung	deu	sčítanka	ces	106
Verfälschung	deu	bias	ces	106
Tor	deu	vrátkový obvod	ces	106
Dummkopf	deu	ťululum	ces	106
employé	fra	белахо	ces	106
Angestellter	deu	белахо	ces	106
employee	eng	белахо	ces	106
невеста	rus	nevěsta se závojem	ces	106
dish	eng	"k sežrání"	ces	106
хлопушка	rus	párty trubka	ces	106
basketteur	fra	člověk s míčem	ces	106
bêta	fra	(verze) beta	ces	106
girl	eng	casnoch	ces	10041
waiter	eng	kernel	ces	10041
barber	eng	pulbir	ces	10041
physician	eng	medicindochtor	ces	10041
wife	eng	moja	ces	10041
husband	eng	moja	ces	10041
young woman	eng	mladica	ces	10041
bitch	eng	nacie	ces	10041
woman	eng	crbolena	ces	10041
owner	eng	panidlo	ces	10041
help	eng	pocmrdovat	ces	10041
woman	eng	robsko	ces	10041
ghost	eng	maga	ces	10041
weaver	eng	kadlc	ces	10041
pencil	eng	blajvaz	ces	10041
woman	eng	roba	ces	10041
abbess	eng	habatêša	ces	10041
virago	eng	čerti ocet	ces	10041
virago	eng	čerti ocet	ces	10041
girl	eng	odrbětka	ces	10041
girl	eng	děvčêska	ces	10041
sorceress	eng	čarodlnica	ces	10041
witch	eng	čarodlnica	ces	10041
waiter	eng	margél	ces	10041
fellow	eng	foreják	ces	10041
woman	eng	haňbôla	ces	10041
woman	eng	naňbôlena	ces	10041
fool	eng	héhôla	ces	10041
fool	eng	ťôkan	ces	10041
lizard	eng	iščera	ces	10041
cone	eng	škarnótka	ces	10041
left-hander	eng	šmanďa	ces	10041
left-hander	eng	šmanďák	ces	10041
urchin	eng	kyhébek	ces	10041
miss	eng	simnót se	ces	10041
bitch	eng	kanária	ces	10041
martyr	eng	môčenik	ces	10041
rubberneck	eng	čômákovat	ces	10041
dealer	eng	handliřka	ces	10041
punch	eng	ždrc	ces	10041
punch	eng	ždrce	ces	10041
hunt	eng	šňôpat	ces	10041
judge	eng	sóci	ces	10041
kit	eng	zgarbê	ces	10041
mayor	eng	pôdmistr	ces	10041
ghost	eng	čaramura	ces	10041
hag	eng	čaramura	ces	10041
witch	eng	čaramura	ces	10041
fool	eng	ošôsta	ces	10041
pencil	eng	blajštyf	ces	10041
turnip	eng	rápka	ces	10041
turnip	eng	strmisková řepa	ces	10041
contemporary	eng	brstevník	ces	10041
push up	eng	vêštôchat	ces	10041
thief	eng	pajzloň	ces	10041
cone	eng	barôša	ces	10041
cone	eng	barôše	ces	10041
woman	eng	rožčipka	ces	10041
woman	eng	čaplenka	ces	10041
woman	eng	robê	ces	10041
-	deu	-	ces	106
-	deu	-	ces	106
атлетка	rus	atletka	ces	106
athlete	fra	atletka	ces	106
Athletin	deu	atletka	ces	106
athlete	eng	atletka	ces	106
легкоатле́т	rus	atletka	ces	106
athlète	fra	atletka	ces	106
Athlet	deu	atletka	ces	106
Athletin	deu	atletka	ces	106
Leichtathlet	deu	atletka	ces	106
Leichtathletin	deu	atletka	ces	106
Sportler	deu	atletka	ces	106
Wettkämpfer	deu	atletka	ces	106
athlete	eng	atletka	ces	106
jock	eng	atletka	ces	106
sportsman	eng	atletka	ces	106
sportsperson	eng	atletka	ces	106
sportswoman	eng	atletka	ces	106
wrestler	eng	atletka	ces	106
joueur	fra	atletka	ces	106
atleet	nld	atletka	ces	106
атлет	rus	atletka	ces	106
легкоатлет	rus	atletka	ces	106
спортсмен	rus	atletka	ces	106
atleta	spa	atletka	ces	106
deportista	spa	atletka	ces	106
azulejo	spa	chrpa	ces	106
azulejo	spa	chrpa	ces	106
azulejo	spa	chrpa	ces	106
azulejo	spa	chrpa	ces	106
armoury	eng	erb	ces	106
armería	spa	erb	ces	106
armory	eng	erb	ces	106
Priesterin	deu	kněžka	ces	106
priesteres	nld	kněžka	ces	106
priestess	eng	kněžka	ces	106
жрица	rus	kněžka	ces	106
жрица	rus	kněžka	ces	106
priestess	eng	kněžka	ces	106
sacerdotisa	spa	kněžka	ces	106
priestess	eng	kněžka	ces	106
priestess	eng	kněžka	ces	106
Priesterin	deu	kněžka	ces	106
prêtresse	fra	kněžka	ces	106
priesteres	nld	kněžka	ces	106
попадья́	rus	kněžka	ces	106
жри́ца	rus	kněžka	ces	106
sacerdotisa	spa	kněžka	ces	106
жрица	rus	kněžka	ces	106
prêtresse	fra	kněžka	ces	106
priestess	eng	kněžka	ces	106
Pfarrerin	deu	kněžka	ces	106
Priesterin	deu	kněžka	ces	106
priestess	eng	kněžka	ces	106
priesteres	nld	kněžka	ces	106
жрица	rus	kněžka	ces	106
sacerdotisa	spa	kněžka	ces	106
клиентура	rus	klienti	ces	106
kast	nld	skříň	ces	106
case	eng	skříň	ces	106
kast	nld	skříň	ces	106
Kasten	deu	skříň	ces	106
kast	nld	skříň	ces	106
kast	nld	skříň	ces	106
kast	nld	skříň	ces	106
Kasten	deu	skříň	ces	106
Kasten	deu	skříň	ces	106
kast	nld	skříň	ces	106
-n	deu	tvář	ces	106
model	eng	vymodelovat	ces	106
canal	spa	zářez	ces	106
nun	eng	14. písmeno hebrejské abecedy	ces	106
-	deu	ATP	ces	106
agama	eng	Agamidae	ces	106
lizards	eng	Agamidae	ces	106
lagartija	spa	Agamidae	ces	106
lagarto	spa	Agamidae	ces	106
anolis	eng	Agamidae	ces	106
anolis	fra	Agamidae	ces	106
lézard	fra	Agamidae	ces	106
Anolis	deu	Agamidae	ces	106
Agama	deu	Agamidae	ces	106
Agamidae	deu	Agamidae	ces	106
Echse	deu	Agamidae	ces	106
Gekkonidae	deu	Agamidae	ces	106
Iguanidae	deu	Agamidae	ces	106
Lacertidae	deu	Agamidae	ces	106
Sauria	deu	Agamidae	ces	106
Varanidae	deu	Agamidae	ces	106
Varanus	deu	Agamidae	ces	106
agamidae	eng	Agamidae	ces	106
gekkonidae	eng	Agamidae	ces	106
iguanidae	eng	Agamidae	ces	106
lacertidae	eng	Agamidae	ces	106
sauria	eng	Agamidae	ces	106
varanidae	eng	Agamidae	ces	106
varanus	eng	Agamidae	ces	106
agama	fra	Agamidae	ces	106
agamidae	fra	Agamidae	ces	106
gekkonidae	fra	Agamidae	ces	106
iguanidae	fra	Agamidae	ces	106
lacertidae	fra	Agamidae	ces	106
sauria	fra	Agamidae	ces	106
varanidae	fra	Agamidae	ces	106
varanus	fra	Agamidae	ces	106
agama	spa	Agamidae	ces	106
agamidae	spa	Agamidae	ces	106
anolis	spa	Agamidae	ces	106
gekkonidae	spa	Agamidae	ces	106
iguanidae	spa	Agamidae	ces	106
lacertidae	spa	Agamidae	ces	106
sauria	spa	Agamidae	ces	106
varanidae	spa	Agamidae	ces	106
varanus	spa	Agamidae	ces	106
-	deu	Albánie	ces	106
amazone	fra	Amazonka	ces	106
Indiaan	nld	Americký Indián	ces	106
Ente	deu	Anas	ces	106
Angelika	deu	Andělika lékařská	ces	106
Angelika	deu	Angelika	ces	106
agama	eng	Anolis	ces	106
lizards	eng	Anolis	ces	106
lagartija	spa	Anolis	ces	106
lagarto	spa	Anolis	ces	106
anolis	eng	Anolis	ces	106
anolis	fra	Anolis	ces	106
lézard	fra	Anolis	ces	106
Anolis	deu	Anolis	ces	106
Agama	deu	Anolis	ces	106
Agamidae	deu	Anolis	ces	106
Echse	deu	Anolis	ces	106
Gekkonidae	deu	Anolis	ces	106
Iguanidae	deu	Anolis	ces	106
Lacertidae	deu	Anolis	ces	106
Sauria	deu	Anolis	ces	106
Varanidae	deu	Anolis	ces	106
Varanus	deu	Anolis	ces	106
agamidae	eng	Anolis	ces	106
gekkonidae	eng	Anolis	ces	106
iguanidae	eng	Anolis	ces	106
lacertidae	eng	Anolis	ces	106
sauria	eng	Anolis	ces	106
varanidae	eng	Anolis	ces	106
varanus	eng	Anolis	ces	106
agama	fra	Anolis	ces	106
agamidae	fra	Anolis	ces	106
gekkonidae	fra	Anolis	ces	106
iguanidae	fra	Anolis	ces	106
lacertidae	fra	Anolis	ces	106
sauria	fra	Anolis	ces	106
varanidae	fra	Anolis	ces	106
varanus	fra	Anolis	ces	106
agama	spa	Anolis	ces	106
agamidae	spa	Anolis	ces	106
anolis	spa	Anolis	ces	106
gekkonidae	spa	Anolis	ces	106
iguanidae	spa	Anolis	ces	106
lacertidae	spa	Anolis	ces	106
sauria	spa	Anolis	ces	106
varanidae	spa	Anolis	ces	106
varanus	spa	Anolis	ces	106
Arabist	eng	Arabistika	ces	106
-	deu	Austrálie	ces	106
-	deu	Bavorsko	ces	106
Rind	deu	Bos taurus	ces	106
Señor	spa	Bůh	ces	106
Ente	deu	Cairina	ces	106
wolf	eng	Canis lupus	ces	106
wolf	eng	Canis mexicanus	ces	106
chevreuil	fra	Capreolus	ces	106
roe deer	eng	Capreolus	ces	106
corzo	spa	Capreolus	ces	106
Rehwild	deu	Capreolus	ces	106
christelijk	nld	Christian	ces	106
Zoll	deu	Clo	ces	106
Cyprian	eng	Cyprianus	ces	106
Cyprian	eng	Cyprian	ces	106
Diagnose	deu	Diagnostika	ces	106
рабочий	rus	Do zaměstnání	ces	106
Drache	deu	Drak	ces	106
Drache	deu	Drak	ces	106
Drache	deu	Drak	ces	106
Drache	deu	Drak	ces	106
Drache	deu	Drak	ces	106
Drache	deu	Drak	ces	106
Esel	deu	Equus asinus	ces	106
Jew	eng	Etymologie slova Žid	ces	106
blanke	nld	Evropan	ces	106
blanke	nld	Evropanka	ces	106
blanke	nld	Evropský	ces	106
Elefant	deu	Ferdinand	ces	106
-	deu	Finsko	ces	106
agama	eng	Gekkonidae	ces	106
lizards	eng	Gekkonidae	ces	106
lagartija	spa	Gekkonidae	ces	106
lagarto	spa	Gekkonidae	ces	106
anolis	eng	Gekkonidae	ces	106
anolis	fra	Gekkonidae	ces	106
lézard	fra	Gekkonidae	ces	106
