распорядительница	Derivative
представительница	Derivative
арт-терапевт	Compound
женщина-водитель	Compound
рукодельница	Derivative
туркомпания	Derivative
аккордеонистка	Derivative
депутатки	Derivative
саксофонистка	Derivative
фотожурналистка	Derivative
гимнастка	Derivative
чиновница	Derivative
актриса	Derivative
дикторша	Derivative
шпажистка	Derivative
приятельница	Derivative
искусствовед	Compound
телеведущая	Compound
машина	Derivative
мотоциклистка	Derivative
музыкантка	Derivative
председательница	Derivative
художник-модельер	Compound
телефонистка	Derivative
публицистка	Derivative
депутатки	Derivative
сотрудница	Derivative
прокурорша	Derivative
музыкантка	Derivative
подписчица	Derivative
корреспондентка	Derivative
журналистка	Derivative
спортсменка	Derivative
художница	Derivative
лего	Derivative
студентка	Derivative
телефонистка	Derivative
теннисистка	Derivative
молитвенница	Derivative
трубки	Derivative
туристка	Derivative
учительница	Derivative
наследница	Derivative
бэк-вокалистка	Compound
сотрудницы	Derivative
общественница	Derivative
певица	Derivative
учительница	Derivative
участница	Derivative
женщина-водитель	Compound
водительница	Derivative
сотрудница	Derivative
шеф-редактор	Compound
