licenciada en	Phrase
abogada	Derivative
agente	Unmotivated
aristócrata	Derivative
matrona	Derivative
autora	Unmotivated
camarera	Derivative
británica señora	Phrase
baronesa	Derivative
rubia sin embargo	Phrase
guerrera	Derivative
fierro así tiene nada	Phrase
morena mofletuda y	Phrase
poeta	Unmotivated
pupila	Unmotivated
institutriz	Derivative
guardiana	Derivative
extranjera	Derivative
aduanas	Derivative
emperatriz	Derivative
donante	Derivative
diagnóstico	Derivative
doctora	Derivative
camarada	Derivative
ganadora premio	Phrase
vendedora	Derivative
bobalicona devota	Phrase
heredera	Derivative
obreras	Derivative
portera	Derivative
existencialista que	Phrase
experta docente preparada	Phrase
agricultora	Derivative
es una feminista	Phrase
preciosidad	Derivative
filósofa	Derivative
fotógrafa	Derivative
persecución	Derivative
casamentera redomada	Phrase
paloma	Unmotivated
amas de casa	Phrase
anfitriona	Derivative
tañedoras ya habían retirado	Phrase
condesa	Derivative
heroína	Derivative
actriz	Unmotivated
giannini	Derivative
sequedad culpables	Phrase
supervisora	Derivative
ladró instructora	Phrase
enfermera instrumentista	Phrase
ingeniera de	Phrase
negociador	Derivative
lagarto	Derivative
inquilina las cajas	Phrase
prisionera	Derivative
insigne comerciante	Phrase
predecesora	Derivative
peluquera	Derivative
amiga	Unmotivated
amiga	Unmotivated
canciller	Derivative
han nombrado capitana	Phrase
pianista	Derivative
tesoro	Unmotivated
asistenta	Derivative
clientela	Derivative
cliente	Derivative
tesoro	Unmotivated
bibliotecaria	Derivative
sacerdotisa	Derivative
colega	Unmotivated
comisaria	Derivative
doncella	Derivative
caña	Unmotivated
belleza	Derivative
cocinera	Derivative
alcahueta	Derivative
cliente	Derivative
tan embustera	Phrase
descolgado mujer	Phrase
mujer que toca el laúd	Phrase
cazadora solitaria	Phrase
médica	Unmotivated
pintora	Derivative
maniquí	Derivative
esposa	Unmotivated
masajista	Derivative
médica en cuestión	Phrase
orión la osa mayor la	Phrase
señora	Unmotivated
amante	Unmotivated
ministra	Derivative
jovencita	Derivative
enfermos	Derivative
asistenta	Derivative
modelo	Unmotivated
moto	Unmotivated
mártir	Unmotivated
mulata	Unmotivated
musulmana llorando	Phrase
filósofa	Derivative
agente	Unmotivated
dueña	Unmotivated
burguesa muy mimada	Phrase
desconocen las circunstancias	Phrase
sustitución de	Phrase
visitantes	Derivative
pobre mujer	Phrase
joven recién casada	Phrase
periodista	Derivative
manos	Unmotivated
premio	Unmotivated
coordinadora	Derivative
esclava	Derivative
paciente	Derivative
virgen	Unmotivated
soberana había estrenar	Phrase
señora	Unmotivated
pareja	Unmotivated
se permitiese pasajera	Phrase
patrona	Derivative
pianista	Derivative
empresaria	Derivative
camarera	Derivative
policía tomó declaración	Phrase
policía	Derivative
política	Derivative
diputada	Derivative
abogada	Derivative
refugiada birmana	Phrase
primera ministra	Phrase
presidenta	Derivative
princesa	Derivative
profesora	Derivative
prostituta	Derivative
asistente social	Phrase
psicoanalista	Derivative
psicóloga	Derivative
mecanógrafa	Derivative
pastorcilla báculo	Phrase
niñera	Unmotivated
cantante	Derivative
tutora	Unmotivated
traidora	Derivative
correctora	Derivative
hembra	Unmotivated
presidenta	Derivative
vicepresidenta de	Phrase
campesina	Derivative
secretaria	Derivative
senadora	Derivative
prima hermana	Phrase
digna émula	Phrase
asistenta	Derivative
sirvienta	Derivative
su empleo esas circunstancias dicha nacional turca	Phrase
presentó mi díscípula	Phrase
novia	Unmotivated
adalid	Unmotivated
rival	Unmotivated
persona condenada	Phrase
jueza	Unmotivated
vecina asiento	Phrase
téngase presente compañera lecho	Phrase
de colaboradora de	Phrase
deportista	Derivative
cuidadora	Derivative
alcaldesa	Derivative
anciana	Derivative
ellenjamesianas	Derivative
striptease	Derivative
paloma	Unmotivated
estudiante	Derivative
madre superiora	Phrase
representante	Derivative
mecano	Unmotivated
inmigrantes	Derivative
con mediadora	Phrase
sus compañeras cazadoras	Phrase
guardiana de	Phrase
prevención	Derivative
boda	Unmotivated
santa mujer	Phrase
secretaria	Derivative
su suegra	Phrase
técnica sonido	Phrase
telegrafista	Derivative
intérprete	Derivative
buscona	Derivative
vendedora había hablado	Phrase
pescadera largarte	Phrase
tubos	Unmotivated
trompeta	Derivative
enanas	Unmotivated
lápiz	Unmotivated
treinta años	Phrase
puñetera	Derivative
artista	Derivative
era entonces aprendiza	Phrase
maestra	Derivative
embajadora	Derivative
campesina	Derivative
vicepresidente	Derivative
patriota	Derivative
loba	Unmotivated
monarca	Derivative
nabos	Unmotivated
asesina	Derivative
figura	Unmotivated
embajadora	Derivative
experta	Derivative
impostora	Derivative
sala acomodadora	Phrase
líder	Unmotivated
corredora	Derivative
persona confianza	Phrase
investigadora sentir	Phrase
espías	Unmotivated
pitonisa	Derivative
representante de	Phrase
sala de armas	Phrase
enfermera de campaña	Phrase
pelirroja	Derivative
ladrona	Derivative
cantante	Derivative
guardiana	Derivative
bruja	Unmotivated
bruja	Unmotivated
negra	Unmotivated
demonio	Derivative
miembro de	Phrase
cuarentona	Derivative
— parte coadyuvante	Phrase
lectora	Derivative
camareras	Derivative
directora	Derivative
lado conductora	Phrase
tablero	Derivative
campeona	Derivative
enfermera	Derivative
colegiala	Derivative
violencia carnal una ricadueña	Phrase
espionaje	Derivative
puta	Unmotivated
cuñada	Unmotivated
jefa	Unmotivated
redactora jefe	Phrase
judía salida	Phrase
pordiosera	Derivative
demandante	Derivative
alumnas	Derivative
