vergleichen mit den senilen alten Radcliffe-Alumnen	Phrase
Anwältin	Derivative
Agentin	Derivative
eine Aristokratin	Phrase
Assistentin	Derivative
Verfasserin	Derivative
die Barfrau	Phrase
die Baronesse	Phrase
Baronin	Derivative
Blondine	Derivative
Kämpfer	Unmotivated
Waffe	Unmotivated
eine rehäugige Brünette	Phrase
Dichterin	Derivative
Pflegetochter	Compound
Erzieherin	Derivative
Hüterin	Derivative
Ausländerin	Derivative
Zollhaus	Compound
die Kaiserin	Phrase
Spendertier	Compound
Diagnose	Derivative
die Ärztin	Phrase
die Genossin	Phrase
die Paßinhaberin	Phrase
die Verkäuferin	Phrase
Meine Göttergattin ist seit neuestem	Phrase
Haupterbin die Geschäfte führen	Phrase
Arbeiterinnen	Compound
die Hausmeisterin	Phrase
die Existentialistin	Phrase
Physikerin eine Gelehrte	Phrase
- Bodenbearbeitung betreibt	Phrase
Feministin	Derivative
sie Nummer	Phrase
Philosophin	Unmotivated
Fotografin	Unmotivated
Jagd	Unmotivated
arrangiert gerne Ehen	Phrase
Taube	Unmotivated
Haushälterin	Compound
Gastgeberin	Compound
Musikerinnenblick gestülpt	Phrase
die Gräfin	Phrase
die Heldin	Phrase
Schauspielerin	Compound
Anwältin	Derivative
Sünderin	Derivative
Lebensmittelkontrolleurin und für	Phrase
Vorturnerin ihre	Phrase
Sprechstundenhilfe	Compound
Ingenieurin	Derivative
Unterhändler bei	Phrase
eine Eidechse	Phrase
die Mieterin	Phrase
Gefangene	Derivative
Geschäftsfrau	Compound
Vorgängerin	Compound
Friseuse	Derivative
Freundin	Derivative
scharfe Stück hier	Phrase
Kanzlerin	Derivative
die Kapitänin	Phrase
Pianistin	Derivative
Schatzkammer	Compound
Putzfrau	Compound
Kunden	Derivative
Mandantin	Derivative
Schatzkammer	Compound
eine Bibliothekarin	Phrase
Priesterin	Derivative
Kollegin	Derivative
Kommissarin	Derivative
die Zofe	Phrase
der Schnaps	Phrase
Schönheit	Derivative
die Köchin	Phrase
Kupplerin	Derivative
Kundin	Derivative
Lügnerin	Derivative
wieder Blitztelegramm gebracht hatte	Phrase
die Lautenistin	Phrase
Jägerinnen	Unmotivated
Ärztin	Derivative
die Malerin	Phrase
ein Mannequin	Phrase
Frau	Unmotivated
die Therapeutin	Phrase
Medizinstudentin	Compound
die Bärenmutter	Phrase
gnädige Frau	Phrase
Geliebte	Unmotivated
Ministerin	Derivative
Weibersolo junges Mädchen	Phrase
Kranke	Unmotivated
Helferinnen	Compound
Modell	Unmotivated
Motorrad	Compound
Märtyrerin	Derivative
einer halbwüchsigen Mulattin hilflosem Aussehen	Phrase
Muslimin	Derivative
Philosophin	Unmotivated
Arbeitnehmerinnen	Compound
die Besitzerin	Phrase
einer Neubauwohnung lebt	Phrase
Neuankömmlinge noch nicht Bescheid wissen	Phrase
Nachfolgerin von	Phrase
die Besucherin	Phrase
Goldkörnchen unglücklichen	Phrase
Jungverheiratete	Compound
Journalistin	Derivative
Untersekretärin des	Phrase
Trägerin	Derivative
Koordinatorin	Derivative
Sklavin	Derivative
Patientin	Derivative
Jungfrau	Compound
Herrscherin	Derivative
Frau	Unmotivated
Partnerin	Derivative
Taxameter weit vor Ende Fahrt	Phrase
Ihrer Namenspatronin	Phrase
Pianistin	Derivative
Unternehmerin	Compound
Zimmermädchen	Compound
Polizistin verhört wurde	Phrase
Polizistin	Derivative
Politikerin	Derivative
Abgeordnete	Unmotivated
Anwältin	Derivative
selber Flichtling	Phrase
Premierministerin	Compound
Präsidentin	Unmotivated
die Prinzessin	Phrase
Professor	Derivative
Prostituierte	Unmotivated
Mitarbeiterin	Compound
Psychoanalytikerin	Compound
Psychologin	Derivative
Stenotypistin	Derivative
Hirtin	Derivative
Ziehmutter	Compound
Sängerin	Derivative
Beraterin	Derivative
die Verräterin	Phrase
Redakteurin	Derivative
Weibchen	Derivative
amtierende Präsidentin	Phrase
Vizepräsidentin der	Phrase
Bäuerin	Derivative
Sekretärin	Derivative
Worten von Senatorin	Phrase
die Cousine	Phrase
Nachkommen Evas wahrgenommen werden	Phrase
die Bedienerin	Phrase
Dienerin	Derivative
Angehörige	Compound
Zuhörerin	Derivative
die Verlobte	Phrase
Sozialistin	Derivative
Rivalin lustig	Phrase
eine Strafgefangene	Phrase
Richterin	Derivative
Nachbarin	Derivative
undeutlich sichtbaren Gesäß meiner Bettgenossin zuzuwenden	Phrase
Mitarbeiterin	Compound
Sportlerinnen	Compound
Verwalterin	Derivative
Bürgermeisterin von	Phrase
die Alte	Phrase
