Feature	English	German	Dutch	Russian	French	Spanish
kolik_se_najde_prekladu_z_cs_do_ostatnich	75	67	61	72	74	78
kolik_se_najde_prekladu_z_ostatnich_do_cs	75	67	61	72	74	78
kolik_se_najde_prekladu_z_cs_pres_ostatni_do_cs	75	67	61	72	74	78
jaky_je_prumerny_pocet_kandidatu_pri_cs_do_ostatni	1.84	1.85	1.87	1.81	1.68	1.78
jaky_je_prumerny_pocet_kandidatu_pri_ostatni_do_cs	4.21	4.51	7.31	4.15	4.19	4.23
jaky_je_prumerny_pocet_kandidatu_pri_cs_pres_ostatni_do_cs	4.21	4.51	7.31	4.15	4.19	4.23
kolik_kompletnich_prekladu_ma_pouze_pozadovanou_formu	19	15	11	11	16	17
kolik_kompletnich_prekladu_ma_soucasti_pozadovanou_formu	75	67	61	72	74	78
kolik_kompletnich_prekladu_ma_pouze_neutralni_formu	0	0	0	0	0	0
kolik_kompletnich_prekladu_ma_soucasti_neutralni_formu	39	38	37	40	44	46
kolik_prekladu_z_cs_do_ostatni_je_kopie	0	0	0	0	0	0
kolik_prekladu_z_ostatni_do_cs_je_kopie	0	0	0	0	0	0

kolik_prekladu_pro_vsechny_jazyky	40
