matige cijfers zo kon doorstromen	Phrase
advocaat	Unmotivated
agent	Unmarked
ouderwetse aristocrate	Phrase
assistente	Derivative
auteur	Unmarked
barmeid	Compound
handelscommissaris barones	Phrase
barones	Unmotivated
blondine	Unmotivated
strijders	Derivative
wapen	Unmotivated
brunette	Derivative
dichteres	Derivative
pleegdochter	Unmarked
kinderjuffrouw	Phrase
hoedster	Derivative
in een diepe slaap verzonken een vreemdeling	Phrase
grenspost	Phrase
keizerin	Derivative
moederdier afkomstig zijn	Phrase
diagnose	Derivative
vrouwelijke arts	Phrase
kameraad	Unmotivated
meesteres	Derivative
verkoopster	Derivative
onbenullige aanbidster	Phrase
erfgename	Compound
arbeidsters	Compound
huisbewaarster	Derivative
ook een existentiefilosoof	Phrase
expert	Phrase
landbouwer stelde geloof	Phrase
feministe	Derivative
vlot ding	Phrase
filosoof	Phrase
fotografe	Phrase
jacht	Unmotivated
koppelaarster	Derivative
duif	Unmotivated
huishoudster	Derivative
gastvrouw	Compound
zangeres	Derivative
gravin	Derivative
heldin	Derivative
actrice	Derivative
verdedigster	Derivative
springlevende zondaar	Phrase
inspecteurs	Unmotivated
pracht instructrice degelijk	Phrase
instrumentenkamer een röntgenassistent	Phrase
litause ingenieur	Phrase
onderhandelaar	Unmarked
hagedis	Unmotivated
toen huurster voor	Phrase
vrouwelijke krijgsgevangenen	Phrase
zakenvrouw	Compound
voorganger	Unmarked
kapster	Derivative
vriendin	Derivative
lesbische vriendin is vandaag opgedoken	Phrase
bondskanselier	Unmarked
kapiteinse	Derivative
concertpianist	Unmarked
gril spoorloos juweliersvrouw viel een vreemdsoortig	Phrase
werkster	Derivative
klantenkring	Compound
cliënte	Derivative
schatkamers na speuren	Phrase
bibliothecaresse	Derivative
hogepriesteres	Derivative
collega	Unmotivated
commissaris	Unmotivated
kamermeisje	Compound
drank	Unmotivated
schoonheid	Derivative
keukencheffin	Derivative
koppelaarster vinden	Phrase
klanten	Unmotivated
leugenaar	Unmarked
dezelfde bestelster andermaal	Phrase
luitspeelster	Derivative
najagen zelf jager in	Phrase
arts	Unmotivated
schilderes	Derivative
mannequin	Derivative
vrouw	Unmotivated
masseuse	Derivative
medisch studente	Phrase
berin	Derivative
mevrouw juana	Phrase
minnares	Derivative
minister	Derivative
krasse vrouw	Phrase
varkenssterfte - ziekte	Phrase
hulp	Unmotivated
onaantastbare modellen	Phrase
motorfiets	Compound
martelares	Derivative
oog	Unmotivated
gesluierde moslima	Phrase
filosoof whitney	Phrase
werkneemsters	Compound
eigenares	Phrase
burgermeisje	Compound
naïeveling	Compound
ter vervanging	Phrase
gast	Unmotivated
arme vrouw hield	Phrase
zijn bruid	Phrase
journaliste	Derivative
picardië	Derivative
draagster	Derivative
coördinator	Unmarked
slavin	Derivative
patiënte	Derivative
maagd	Unmotivated
vorstin	Derivative
mevrouw	Compound
zijn partner dichthield	Phrase
ging konden passagier	Phrase
patroonheilige van grote	Phrase
pianiste in bij-beroep uit	Phrase
ze zelfstandig ondernemer	Phrase
kamermeisje	Compound
politievrouw werd verhoord	Phrase
blijkbaar een politievrouw privécomputer	Phrase
politica	Derivative
van mevrouw	Phrase
jurist	Unmarked
bestaansfase sporen	Phrase
premier	Unmarked
president	Unmarked
prinses	Phrase
professor	Unmarked
prostituee	Derivative
werkster	Derivative
beardsley zich hoorde veroorloven	Phrase
psychologe	Derivative
typiste	Derivative
herderinnetje wordt cadeau gedaan aan	Phrase
pleegmoeder	Unmarked
avant-gardistische zangeres	Phrase
consulente op keer	Phrase
verrader	Unmarked
redactie uit alle macht	Phrase
wijfje	Phrase
voorzitter van	Phrase
vicevoorzitter van	Phrase
boerin	Derivative
secretaresse	Derivative
senator	Unmarked
nichtje	Derivative
opvolger van	Phrase
werkster	Derivative
